MAP (kPa),800,1500,2200,2600,3000,3400,3800,4100,4400,4700,5000,5300,5600,6000,6400,6800
105,64,71,77,81,84,86,89,91,93,93,91,89,86,82,78,74
100 (WOT),63,70,76,80,83,85,88,90,92,92,90,88,85,81,77,73
95,61,68,74,78,81,83,86,88,90,90,88,86,83,79,75,71
90,60,67,72,76,79,81,84,86,88,88,86,84,81,77,73,69
85,58,64,69,73,76,79,81,84,85,85,84,81,78,74,70,66
80,56,62,67,70,74,76,79,81,83,83,81,79,75,71,67,63
75,53,59,64,67,71,73,76,78,80,80,78,76,72,68,64,60
70,50,56,61,64,68,70,73,75,77,77,75,73,69,65,61,57
65,47,53,58,61,65,67,70,72,74,74,72,70,66,62,58,54
60,44,50,55,58,61,64,66,69,70,70,69,66,63,59,55,51
55,41,47,51,54,57,60,62,65,66,66,65,62,59,55,51,47
50 (Idle),38,43,47,50,53,56,58,61,62,62,61,58,55,51,47,43
45,35,39,43,46,49,51,54,56,57,57,56,53,50,46,42,38
40 (Decel),32,36,40,42,45,47,49,51,52,52,51,48,45,41,37,33
30,26,29,32,34,36,38,41,43,45,45,43,41,38,34,30,26
20,18,20,22,23,25,27,28,30,31,32,31,29,26,23,20,18
